coffee_name;total_score;roaster_location;coffee_origin;roast_level;est._price;agtron_ground;agtron_roast;price_per_100g;price_per_ounce;origin_country;clean_roaster_location;roaster_country;origin_country_clean
Kenya ARES;95;Taipei, Taiwan;Nyeri growing region, south-central Kenya;Medium Light;NT $380/115 grams;54;74;330.43;13.40388007;Kenya;Taipei, Taiwan;Taiwan;Kenya
Empress Kenya;95;Taipei, Taiwan;Kiambu growing region, south-central Kenya;Medium Light;NT $550/225 grams;58;74;244.44;19.40035273;Kenya;Taipei, Taiwan;Taiwan;Kenya
Kenya Kiambu AB Top Lot;94;Chia-Yi, Taiwan;Kiambu growing region, south-central Kenya;Medium Light;NT $450/227 grams;54;72;198.24;15.87301587;Kenya;Chia-Yi, Taiwan;Taiwan;Kenya
Kenya Kiambu Maua Lot AB;94;Chia-Yi, Taiwan;Kiambu growing region, south-central Kenya;Medium Light;NT $325/8 ounces;60;78;143.3;325;Kenya;Chia-Yi, Taiwan;Taiwan;Kenya
Kenya Thunguri AA;94;Los Angeles, California;Kirinyaga District, south-central Kenya;Medium Light;$21.95/12 ounces;58;80;6.45;21.95;Kenya;Los Angeles, California;USA;Kenya
Kenya Kirinyaga Kabare Karani AA;94;Toronto, Ontario, Canada;Kirinyaga District, south-central Kenya;Medium Light;CAD $22.00/225 grams;60;78;9.78;;Kenya;Toronto, Canada;Canada;Kenya
Kenya Kirinyaga Kii;94;Yilan, Taiwan;Kirinyaga District, south-central Kenya;Medium Light;NT $500/200 grams;57;77;250;17.6366843;Kenya;Yilan, Taiwan;Taiwan;Kenya
Kenya Rungeto;94;Carlsbad, California;Kirinyaga District, south-central Kenya;Medium Light;$23.00/12 ounces;56;72;6.76;23;Kenya;Carlsbad, California;USA;Kenya
Kenya AA Top Gatomboya;94;Martinez, California;Nyeri growing region, south-central Kenya;Medium Light;$12.00/8 ounces;54;72;5.29;12;Kenya;Martinez, California;USA;Kenya
Heart & Soul Espresso Blend;94;Martinez, California;Guatemala, Ethiopia;Medium;$12.00/8 ounces;50;70;5.29;12;Ethiopia;Martinez, California;USA;Ethiopia
Ethiopia Banko Gotiti;94;San Diego, California;Kochere, Yirgacheffe growing region, south-central Ethiopia;Medium Light;$20.00/12 ounces;57;77;5.88;20;Ethiopia;San Diego, California;USA;Ethiopia
Ethiopia Yabitu Koba;94;Santa Rosa Beach, Florida;Guji Zone, southern Ethiopia;Medium Light;$20.00/12 ounces;58;78;5.88;20;Ethiopia;Santa Rosa Beach, Florida;USA;Ethiopia
Ethiopia Banko Gotiti;94;Topeka, Kansas;Kochere, Yirgacheffe growing region, south-central Ethiopia;Medium Light;$19.50/12 ounces;60;78;5.73;45796;Ethiopia;Topeka, Kansas;USA;Ethiopia
Rhapsody of Dreams;94;Chia-Yi City, Taiwan;Kenya, Colombia;Medium Light;NT $450/227 grams;58;74;198.24;15.87301587;Colombia;Chia-Yi, Taiwan;Taiwan;Colombia
Laura’s Reserve SL34;95;Holualoa, Hawai’i;Holualoa, North Kona growing district, “Big Island” of Hawai'i;Medium Light;$62.95/8 ounces;60;78;27.76;62.95;;Holualoa, Hawaii;USA;
Ethiopia Reko Yirgacheffe;94;Sacramento, California;Yirgacheffe growing region, Ethiopia;Medium Light;$20.50/12 ounces;60;76;6.03;45797;Ethiopia;Sacramento, California;USA;Ethiopia
Colombia Asobombo Inza;94;Bedford, New Hampshire;Cauca, Colombia;Light;$16.00/12 ounces;62;84;4.7;16;Colombia;Bedford, New Hampshire;USA;Colombia
Ethiopia Sidamo Natural Twakok G1;94;Kaohsiung, Taiwan;Sidamo (also Sidama) growing region, south-central Ethiopia;Medium Light;NT $550/230 grams;52;72;239.13;19.40035273;Ethiopia;Kaohsiung, Taiwan;Taiwan;Ethiopia
Panama Boquete Torre Lot #1 Geisha Honey;94;Kaohsiung, Taiwan;Boquete, Panama;Light;NT $2500/100 grams;62;80;2500;88.18342152;Panama;Kaohsiung, Taiwan;Taiwan;Panama
Yellow Caturra (special lot);94;Ka'u, Hawaii;Ka’u growing region, Big island of Hawai’i;Medium Light;$15.00/4 ounces;56;70;13.23;15;;Ka'u, Hawaii;USA;
Hawai’i Kilauea Volcano Yeast Fermentation Washed;96;Minneapolis, Minnesota;Puna, Big Island of Hawai’i;Medium Light;$29.95/4 ounces;58;76;26.41;29.95;;Minneapolis, Minnesota;USA;
Kona Pink Honey Black Rock Farm;94;Minneapolis, Minnesota;Kona, Big Island of Hawai’i;Medium Light;$24.95/4 ounces;58;78;22;24.95;;Minneapolis, Minnesota;USA;
Ethiopia Kayon Mountain;94;Lexington, Virginia;Odo Shakiso District, Guji Zone, southern Ethiopia;Medium Light;$19.95/12 ounces;60;78;5.86;19.95;Ethiopia;Lexington, Virginia;USA;Ethiopia
Benti Nenqa #209 Ethiopia;94;Madison, Wisconsin;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;$18.75/12 ounces;60;78;5.51;18.75;Ethiopia;Madison, Wisconsin;USA;Ethiopia
El Salvador Santa Elena Pacamara;94;Yilan, Taiwan;Chalatenango, El Salvador;Medium Light;NT $500/200 grams;54;70;250;17.6366843;Salvador;Yilan, Taiwan;Taiwan;El Salvador
Ethiopia Sheka Kawo Kamina Natural;95;Minneapolis, Minnesota;Illubabor Zone, Oromia Region, Ethiopia;Medium Light;$24.95/12 ounces;58;72;7.33;24.95;Ethiopia;Minneapolis, Minnesota;USA;Ethiopia
Black Swan Blend;94;Chia-Yi, Taiwan;Colombia, Guatemala, Ethiopia;Medium Light;NT $260/8 ounces;54;70;114.64;260;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Indonesia Lintong Mandheling;94;Taipei, Taiwan;Lintong growing region, North Sumatra Province, Indonesia;Medium Light;NT $450/225 grams;58;78;200;15.87301587;Indonesia;Taipei, Taiwan;Taiwan;Indonesia
Ethiopia Yirgacheffe Natural Farm Direct;94;Henderson, Nevada;Yirgacheffe growing region, south-central Ethiopia;Medium Light;$22.00/12 ounces;58;76;6.47;22;Ethiopia;Henderson, Nevada;USA;Ethiopia
Kenya Karatina AA 2020;94;Henderson, Nevada;Nyeri growing region, south-central Kenya;Medium Light;$24.00/12 ounces;58;76;7.05;24;Kenya;Henderson, Nevada;USA;Kenya
Colombia San Luís Gesha;94;Johns Creek, Georgia;Tolima, Colombia;Medium Light;$24.99/10 ounces;60;76;8.81;24.99;Colombia;Johns Creek, Georgia;USA;Colombia
Karani Kenya;95;Madison, Wisconsin;Kirinyaga, Kenya;Medium Light;$21.00/12 ounces;56;74;6.17;21;Kenya;Madison, Wisconsin;USA;Kenya
Miraflores Colombia;95;Madison, Wisconsin;Sevilla, San Augustin, Huila, Colombia;Medium Light;$22.00/12 ounces;58;78;6.47;22;Colombia;Madison, Wisconsin;USA;Colombia
Kenya Gatuya;94;Truckee, California;Murang'a County, central Kenya;Medium Light;$21.00/12 ounces;55;73;6.17;21;Kenya;Truckee, California;USA;Kenya
Flight Seasonal Espresso;94;Floyd, Virginia;Ethiopia;Medium Light;$18.49/12 ounces;58;80;5.44;18.49;Ethiopia;Floyd, Virginia;USA;Ethiopia
Kenya Gicherori;94;Sacramento, California;Embu, Kenya;Medium Light;$23.50/12 ounces;58;78;6.91;45800;Kenya;Sacramento, California;USA;Kenya
Ethiopia Kayon Mountain (Natural);94;Floyd, Virginia;Odo Shakiso District, Guji Zone, southern Ethiopia;Light;$18.99/12 ounces;64;92;5.58;18.99;Ethiopia;Floyd, Virginia;USA;Ethiopia
Ethiopia Kayon Mountain (Washed);94;Floyd, Virginia;Odo Shakiso District, Guji Zone, southern Ethiopia;Light;$18.49/12 ounces;62;88;5.44;18.49;Ethiopia;Floyd, Virginia;USA;Ethiopia
Ethiopia Dame Dabaye;95;Spokane, Washington;Guji Zone, Oromia Region, Southern Ethiopia;Medium Light;$16.00/12 ounces;60;76;4.7;16;Ethiopia;Spokane, Washington;USA;Ethiopia
Kenya Nyeri AB Nyeshun;96;Chia-Yi, Taiwan;Nyeri growing region, south-central Kenya;Medium Light;NT $400/8 ounces;58;78;176.37;400;Kenya;Chia-Yi, Taiwan;Taiwan;Kenya
Ethiopia Guji Bishala;94;Chia-Yi, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Medium Light;NT $290/8 ounces;58;76;127.87;290;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Ethiopia Wegida Natural;94;Viroqua, Wisconsin;Yirgacheffe growing region, southern Ethiopia;Light;$20.00/12 ounces;62;80;5.88;20;Ethiopia;Viroqua, Wisconsin;USA;Ethiopia
Ka’u Red Caturra Peaberry;94;Kihei, Maui, Hawaii;Wood Valley, Ka’u, Big Island of Hawai’i;Medium Light;$50.00/12 ounces;58;78;14.7;50;;Maui, Hawaii;USA;
Wush Wush Ginbo Keffa Ethiopia;95;Eugene, Oregon;Sidama growing region, southern Ethiopia;Medium Light;$24.00/16 ounces;60;74;5.29;24;Ethiopia;Eugene, Oregon;USA;Ethiopia
Burundi Karehe;95;Renton, Washington;Ngozi Province, Burundi;Medium Light;$20.00/12 ounces;60;76;5.88;20;Burundi;Renton, Washington;USA;
Ethiopia Guji Natural;94;Atlanta, Georgia;Guji Zone, Oromia Region, Southern Ethiopia;Light;$18.00/12 ounces;64;83;5.29;18;Ethiopia;Atlanta, Georgia;USA;Ethiopia
Ethiopia Gera Estate Natural;94;Harrisonburg, Virginia;Agaro Gera, Jimma Zone, Oromia Region, Ethiopia;Light;$15.99/12 ounces;67;96;4.7;15.99;Ethiopia;Harrisonburg, Virginia;USA;Ethiopia
Estelí Nicaragua;94;Washington, D.C.;Dipilto, Nicaragua;Medium Light;$15.00/8 ounces;60;79;6.61;15;Nicaragua;Washington, D.C.;USA;Nicaragua
Limu Ethiopia Natural;94;Des Moines, Iowa;Jimma Zone, Oromia State, Ethiopia;Light;$14.00/12 ounces;66;85;4.12;14;Ethiopia;Des Moines, Iowa;USA;Ethiopia
Colombia Finca El Roblar;94;Jackson, Mississippi;Suaza, Huila, Colombia;Medium Light;$16.50/12 ounces;60;76;4.85;45793;Colombia;Jackson, Mississippi;USA;Colombia
Guatemala Bella Carmona;94;Crystal Lake, Illinois;Antigua, Guatemala;Medium Light;$19.00/12 ounces;58;74;5.59;19;Guatemala;Crystal Lake, Illinois;USA;Guatemala
Ethiopia Yirgacheffe Kochere Debo;94;Thermopolis, Wyoming;Yirgacheffe growing region, southern Ethiopia;Medium Light;$14.00/12 ounces;54;70;4.12;14;Ethiopia;Thermopolis, Wyoming;USA;Ethiopia
Kilauea Volcano Champagne Natural;95;Minneapolis, Minnesota;Volcano, Puna District, Big Island of Hawai’i;Light;$29.95/4 ounces;64;80;26.41;29.95;;Minneapolis, Minnesota;USA;
Nicaragua La Benedicion SL28 Natural;94;Minneapolis, Minnesota;Nueva Segovia, Nicaragua;Light;$19.95/6 ounces;62;80;11.73;19.95;Nicaragua;Minneapolis, Minnesota;USA;Nicaragua
Colombia Tolima Geisha;94;Minneapolis, Minnesota;Tolima, Colombia;Light;$19.98/4 ounces;62;82;17.62;19.98;Colombia;Minneapolis, Minnesota;USA;Colombia
Ethiopia Haro Guta Natural;94;Taipei, Taiwan;Guji Zone, Oromia Region, southern Ethiopia;Light;NT $400/8 ounces;62;80;176.37;400;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
Kenya AA Kirinyaga Kii;95;Kaohsiung City, Taiwan;Kirinyaga District, south-central Kenya;Medium Light;NT $600/8 ounces;60;78;264.55;600;Kenya;Kaohsiung, Taiwan;Taiwan;Kenya
Colombia Antioquia La Papaya Bourbon Chiroso;94;Kaohsiung City, Taiwan;Antioquia Department, northwest Colombia;Medium Light;NT $700/8 ounces;62;76;308.64;700;Colombia;Kaohsiung, Taiwan;Taiwan;Colombia
Karimiuki Espresso;96;Madison, Wisconsin;Kirinyaga, Kenya;Medium Light;$21.00/12 ounces;58;76;6.17;21;Kenya;Madison, Wisconsin;USA;Kenya
Karimiuki Kenya;95;Madison, Wisconsin;Kirinyaga, Kenya;Medium Light;$21.00/12 ounces;58;76;6.17;21;Kenya;Madison, Wisconsin;USA;Kenya
Colombia San Pedro;94;Denver, Colorado;Acevedo, Huila Department, Colombia;Medium Light;$19.00/12 ounces;56;72;5.59;19;Colombia;Denver, Colorado;USA;Colombia
DR Congo, Gera Village, SOPACDI;94;Crystal Lake, Illinois;South Kivu Province, the Democratic Republic of the Congo;Medium Light;$21.00/12 ounces;58;76;6.17;21;Congo;Crystal Lake, Illinois;USA;Democratic Republic of the Congo
El Floral Colombia;95;Madison, Wisconsin;Planadas, Tolima Department, Colombia;Medium Light;$21.00/12 ounces;59;77;6.17;21;Colombia;Madison, Wisconsin;USA;Colombia
El Salvador Geisha Natural;94;Minneapolis, Minnesota;Chalatenango, El Salvador;Medium Light;$16.95/6 ounces;58;74;9.96;16.95;Salvador;Minneapolis, Minnesota;USA;El Salvador
Ethiopia Natural Guji Lot D Minor;95;Chia-Yi, Taiwan;Guji Zone, Oromia Region, Southern Ethiopia;Medium Light;NT $275/8 ounces;58;76;121.25;275;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Taiwan Natural Alishan Zhuo-Wu Farm Geisha;94;Chia-Yi, Taiwan;Alishan, Chaiyi, Taiwan;Medium Light;NT $1,000/4 ounces;56;72;0.88;;Taiwan;Chia-Yi, Taiwan;Taiwan;Taiwan
All Rise;94;Roanoke, Virginia and Floyd, Virginia;Ethiopia, Democratic Republic of the Congo;Medium Light;$20.00/12 ounces;54;72;5.88;20;Congo;Roanoke, Virginia;USA;Democratic Republic of the Congo
Guji Uraga Nitro Cold Brew;94;Denver, Colorado;Guji Zone, Oromia region, southern Ethiopia;;$3.99/8-ounce can;0;0;1.76;;Ethiopia;Denver, Colorado;USA;Ethiopia
Kamoini Black Coffee;94;San Francisco, California;Nyeri growing region, south-central Kenya;;$4.00/can;0;0;;;Kenya;San Francisco, California;USA;Kenya
Ethiopia Nano Challa Cold Brew;94;Carbondale, Colorado;Jimma Zone, Oromia State, Ethiopia;;$18.99/50 ounces;0;0;1.34;18.99;Ethiopia;Carbondale, Colorado;USA;Ethiopia
Brazil Ipanema Black Edition A-41 Red Cherry;94;Yilan, Taiwan;Ipanema, Brazil;;NT $200/150 ml. bottle;0;0;;;Brazil;Yilan, Taiwan;Taiwan;Brazil
Costa Rica Hacienda Tobosi Copey Villa Sarchi Black Honey;94;Douliou City, Taiwan;Tobosi, Cartago Province, Costa Rica;Medium Light;NT $450/220 grams;52;70;204.55;15.87301587;Rica;Douliou, Taiwan;Taiwan;Costa Rica
Sudan Rume;94;Jersey City, New Jersey;Valle del Cauca growing region, Colombia;Light;$30.00/6 ounces;62;80;17.64;30;Colombia;Jersey, New Jersey;USA;Colombia
Ethiopia Sidama Keramo Village;94;Jersey City, New Jersey;Sidamo (also Sidama) growing region, south-central Ethiopia;Medium Light;$25.00/12 ounces;60;76;7.35;25;Ethiopia;Jersey, New Jersey;USA;Ethiopia
Red Bourbon Natural Exclusive Reserve;95;Captain Cook, Hawaii;North Kona growing district, “Big Island” of Hawaii;Medium Light;$38.00/8 ounces;58;76;16.75;38;Hawaii;Captain Cook, Hawaii;USA;United States
Nano Genji Agaro Gera;94;Sacramento, California;Agaro Gera, Jimma Zone, Oromia State, Ethiopia;Medium;$21.00/12 ounces;52;68;6.17;21;Ethiopia;Sacramento, California;USA;Ethiopia
Sumatra Pantan Musara;94;Billings, Montana;Aceh Province, Sumatra, Indonesia;Medium Light;$21.00/12 ounces;58;74;6.17;21;Indonesia;Billings, Montana;USA;Indonesia
Kona Classic Black Rock Farm;94;Minneapolis, Minnesota;Kona, Big Island of Hawai’i;Medium;$18.95/4 ounces;52;68;16.71;18.95;;Minneapolis, Minnesota;USA;
Ethiopian Yirgacheffe Natural;94;Henderson, Nevada;Yirgacheffe growing region, southern Ethiopia;Medium Light;$20.00/12 ounces;58;76;5.88;20;Ethiopia;Henderson, Nevada;USA;Ethiopia
Colombia Cauca At’e;94;Martinez, California;Paéz, Cauca Department, Colombia;Medium Light;$12.00/8 ounces;60;78;5.29;12;Colombia;Martinez, California;USA;Colombia
Sumatra Pantan Musara;94;Minneapolis, Minnesota;Pantan Musara, Gayo, Sumatra, Indonesia;Medium Light;$24.95/12 ounces;54;72;7.33;24.95;Indonesia;Minneapolis, Minnesota;USA;Indonesia
Sumatra Gayo G1 Triple-Picked Lot 005;94;Chia-Yi, Taiwan;Aceh Province, Sumatra, Indonesia;Medium Light;NT $225/8 ounces;56;74;99.21;225;Indonesia;Chia-Yi, Taiwan;Taiwan;Indonesia
Nano Genji #4 Espresso;96;Madison, Wisconsin;Agaro Gera, Jimma Zone, Oromia State, Ethiopia;Medium Light;$18.75/12 ounces;56;74;5.51;18.75;Ethiopia;Madison, Wisconsin;USA;Ethiopia
Ignacio Quintero Colombia;95;Madison, Wisconsin;Inza, Cauca Department, Colombia;Medium Light;$18.00/12 ounces;58;78;5.29;18;Colombia;Madison, Wisconsin;USA;Colombia
Esmeralda Estate Panama Geisha;94;London, England;Boquete growing region, western Panama;;£50.00/10 capsules;0;0;;;Panama;London, England;United Kingdom;Panama
Ka’u Giant Maragogipe;94;Mountain View, Hawai'i;Ka’u growing region, Big Island of Hawai'i;Medium Light;$35.00/10 ounces;54;68;12.35;35;;Mountain View, Hawaii;USA;
Organic Ethiopia Agaro-Nano Challa;94;Minneapolis, Minnesota;Agaro Gera, Jimma Zone, Oromia State, Ethiopia;Medium Light;$22.95/12 ounces;58;74;6.75;22.95;Ethiopia;Minneapolis, Minnesota;USA;Ethiopia
Kerinci Palompek Sumatra;94;Madison, Wisconsin;Jambi Province, Sumatra, Indonesia;Medium Light;$17.80/12 ounces;58;78;5.23;45886;Indonesia;Madison, Wisconsin;USA;Indonesia
Kenya Embu Gicherori Factory AA Top;95;Yilan, Taiwan;Embu County, Kenya;Medium Light;NT $580/200 grams;58;74;290;20.45855379;Kenya;Yilan, Taiwan;Taiwan;Kenya
Colombia Finca Lord Baltimore Papayo;94;Minneapolis, Minnesota;Pitalito, Huila Department, Colombia;Light;$24.95/12 ounces;62;80;7.33;24.95;Colombia;Minneapolis, Minnesota;USA;Colombia
Mocha Java;96;Fort Bragg, California;Sumatra, Ethiopia;Medium;$14.50/12 ounces;52;68;4.26;45791;Ethiopia;Fort Bragg, California;USA;Ethiopia
Ethiopia Shantawene Washed;96;Floyd, Virginia;idamo (also Sidama) growing region, southern Ethiopia;Medium Light;$20.99/12 ounces;60;78;6.17;20.99;Ethiopia;Floyd, Virginia;USA;Ethiopia
Organic Suke Quto Ethiopia;95;Austin, Texas;Guji Zone, Oromia Region, south-central Ethiopia;Medium Light;$19.00/12 ounces;56;74;5.59;19;Ethiopia;Austin, Texas;USA;Ethiopia
Kenya Tuikit Factory AA;95;Chia-Yi, Taiwan;Bungoma, Kenya;Medium Light;NT $300/8 ounces;56;72;132.28;300;Kenya;Chia-Yi, Taiwan;Taiwan;Kenya
Karen J Kona Red Bourbon;94;Holualoa, Hawaii;Holualoa, North Kona growing district, “Big Island” of Hawaii;Medium Light;$45.95/8 ounces (currently on sale for $36.76);58;80;4.41;45.95;Hawaii;Holualoa, Hawaii;USA;United States
Abu Natural Panama Geisha;94;Los Angeles, California;Boquete, Panama;Medium Light;$34.95/6 ounces;58;78;20.55;34.95;Panama;Los Angeles, California;USA;Panama
Colombia Finca Las Margaritas Natural Sudan Rume;94;Jersey City, New Jersey;Valle del Cauca growing region, Colombia;Medium Light;$30.00/6 ounces;55;73;17.64;30;Colombia;Jersey, New Jersey;USA;Colombia
Ecuador Finca Carolina Sidra;94;Minneapolis, Minnesota;Pinchincha, Ecuador;Medium Light;$29.95/12 ounces;60;78;8.8;29.95;Ecuador;Minneapolis, Minnesota;USA;Ecuador
Gesha Village Single-Variety Gesha Special Selection;94;Hong Kong, China;Bench-Maji Zone, southern Ethiopia;Medium Light;$30.00/8 ounces;58;74;13.23;30;Ethiopia;Hong Kong, China;China;Ethiopia
Indestec El Paraiso;94;Carlsbad, California;Cauca, Colombia;Medium Light;$29.00/12 ounces;58;74;8.52;29;Colombia;Carlsbad, California;USA;Colombia
Monteblanco Cold Fermentation Geisha;94;Carlsbad, California;Huila, Colombia;Medium Light;$29.00/12 ounces;57;73;8.52;29;Colombia;Carlsbad, California;USA;Colombia
Funky Chicken;94;Floyd, Virginia;Nicaragua, Colombia, East Timor;Medium;$13.99/12 ounces ($79.00/5 pounds);46;64;9.87;;Timor;Floyd, Virginia;USA;
Yemen Al-Obbarat;95;Minneapolis, Minnesota;Al-Haimah, Yemen;Medium Light;$49.95/4 ounces;54;72;44.05;49.95;Yemen;Minneapolis, Minnesota;USA;Yemen
Ecuador Quilanga Typica Yeast Fermentation;94;Minneapolis, Minnesota;Quilanga, Ecuador;Medium Light;$22.95/12 ounces;57;73;6.75;22.95;Ecuador;Minneapolis, Minnesota;USA;Ecuador
Ethiopia Natural Guji PB JackyLai Lot;94;Chia-Yi, Taiwan;Guji Zone, Oromia region, southern Ethiopia;Medium Light;NT $300/8 ounces;56;76;132.28;300;Ethiopia;Chia-Yi, Taiwan;Taiwan;Ethiopia
Ethiopia Wush Wush;96;Billings, Montana;Sidama growing region, southern Ethiopia;Light;$33.00/12 ounces;62;80;9.7;33;Ethiopia;Billings, Montana;USA;Ethiopia
Ethiopia Hassen Ware Akrabi;94;Spokane, Washington;Guji Zone, Oromia region, southern Ethiopia;Medium Light;$15.00/8 ounces;58;74;6.61;15;Ethiopia;Spokane, Washington;USA;Ethiopia
Costa Rica Luis Campos Anaerobic;94;Billings, Montana;Tarrazu, Costa Rica;Medium Light;$23.00/12 ounces;58;76;6.76;23;Rica;Billings, Montana;USA;Costa Rica
Colombia Granja La Esperanza Tres Dragones;94;Topeka, Kansas;Valle del Cauca growing region, Colombia;Medium Light;$23.50/12 ounces;60;74;6.91;45800;Colombia;Topeka, Kansas;USA;Colombia
Colombia Finca La Loma Microlot;94;Jackson, Mississippi;Huila, Colombia;Medium Light;$16.50/12 ounces;58;76;4.85;45793;Colombia;Jackson, Mississippi;USA;Colombia
Kenya Kiambu AB Uklili 1905 Lot;94;Chia-Yi, Taiwan;iambu growing region, south-central Kenya;Medium Light;NT $300/8 ounces;58;76;132.28;300;Kenya;Chia-Yi, Taiwan;Taiwan;Kenya
Elida Natural Dragonfly Lot;95;Henderson, Nevada;Alto Quiel, Panama;Medium Light;$20.00/12 ounces;54;70;5.88;20;Panama;Henderson, Nevada;USA;Panama
Kona Laurina Pointu;94;Holualoa, Hawaii;Kona, Hawaii;Medium Light;$50.00/ 7 ounces;56;70;25.2;50;Hawaii;Holualoa, Hawaii;USA;United States
Dadaocheng Garden Blend Espresso;94;Yilan, Taiwan;Ethiopia, Guatemala;Medium;NT $350/200 grams;52;68;175;12.34567901;Guatemala;Yilan, Taiwan;Taiwan;Guatemala
Ethiopia Dimtu;95;Floyd, Virginia;Hambela Wamena District, Guji Zone, Ethiopia;Medium Light;$20.99/12 ounces;58;82;6.17;20.99;Ethiopia;Floyd, Virginia;USA;Ethiopia
Ethiopia Sidama Anaerobic;94;Minneapolis, Minnesota;Sidama (also Sidamo) region, Ethiopia;Medium Light;$19.75/12 ounces;58;78;5.81;19.75;Ethiopia;Minneapolis, Minnesota;USA;Ethiopia
Kenya Kiri Peaberry;94;San Diego, California;Ngiriambu District, Kenya;Medium Light;$19.00/12 ounces;56;74;5.59;19;Kenya;San Diego, California;USA;Kenya
Ethiopia Violent Andromeda Natural;94;Taipei, Taiwan;Gedeb District, Gedeo Zone, southern Ethiopia;Medium;NT $600/200 grams;48;66;300;21.16402116;Ethiopia;Taipei, Taiwan;Taiwan;Ethiopia
Kenya Nyeri Yerihar AA Lot 1901 Espresso;95;Chia-Yi, Taiwan;Nyeri growing region, south-central Kenya;Medium Light;NT $325/8 ounces;52;78;143.3;325;Kenya;Chia-Yi, Taiwan;Taiwan;Kenya
Costa Rica Aris Red Honey Lot 1901 Espresso;95;Chia-Yi, Taiwan;Costa Rica;Medium;NT $200/8 ounces;50;68;88.18;200;Rica;Chia-Yi, Taiwan;Taiwan;Costa Rica
100% Kona Bourbon Pointu Laurina;95;Holualoa, Hawaii;Holualoa, North Kona growing district, “Big Island” of Hawaii;Medium Light;$62.95/8 ounces;53;75;27.76;62.95;Hawaii;Holualoa, Hawaii;USA;United States
Panama Hacienda La Esmeralda Geisha Natural Special Auction ES-N-2;94;Taipei, Taiwan;Boquete, Panama;Medium Light;NT $1600/4 ounces;54;72;1410.93;1600;Panama;Taipei, Taiwan;Taiwan;Panama
El Salvador Finca El Cerro Natural;94;Floyd, Virginia;Apaneca-Ilamatepec Mountain Range, El Salvador;Medium Light;$22.99/12 ounces;58;78;6.76;22.99;Salvador;Floyd, Virginia;USA;El Salvador
Halo Hartume Espresso;94;Madison, Wisconsin;Gedeb District, Gedeo Zone, Ethiopia;Medium Light;$17.90/12 ounces;57;77;5.26;45917;Ethiopia;Madison, Wisconsin;USA;Ethiopia
Giusto Organic Espresso Blend;94;Lexington, Virginia;Not disclosed;Medium;$14.25/12 ounces;48;60;4.19;14.25;;Lexington, Virginia;USA;
Berg Wu Championship Selection Yirgacheffe G1 Natural Lot 19/01;95;Yilan, Taiwan;Yirgacheffe growing region, southern Ethiopia;Medium Light;NT $550/200 grams;60;78;275;19.40035273;Ethiopia;Yilan, Taiwan;Taiwan;Ethiopia
Ethiopia Mulegeta Sintayehu Washed;94;Yilan, Taiwan;Yirgacheffe growing region, southern Ethiopia;Medium Light;NT $500/100 grams;59;77;500;17.6366843;Ethiopia;Yilan, Taiwan;Taiwan;Ethiopia
Ecuador Eugenioides Natural Finca Perla Negra;94;Minneapolis, Minnesota;Pichincha, northern Ecuador;Medium Light;;55;73;;;Ecuador;Minneapolis, Minnesota;USA;Ecuador
Panama Esmeralda Geisha Natural;96;Minneapolis, Minnesota;Boquete growing region, western Panama;Medium Light;$19.95/4 ounces;56;74;17.59;19.95;Panama;Minneapolis, Minnesota;USA;Panama
Ethiopia Suke Quto Honey;95;Minneapolis, Minnesota;Guji Zone, Oromia Region, south-central Ethiopia;Medium Light;$19.75/12 ounces;52;70;5.81;19.75;Ethiopia;Minneapolis, Minnesota;USA;Ethiopia
Kenya FSC AB;94;Taichung, Taiwan;Kirinyaga District, south-central Kenya;Medium;NT $1,000/100 grams;50;67;1;;Kenya;Taichung, Taiwan;Taiwan;Kenya
Ceri Ceri Meriah Coffee;94;Jakarta, Indonesia;West Java, Indonesia;Medium Light;IDR $120,000/200 grams;54;72;60;;Indonesia;Jakarta, Indonesia;Indonesia;Indonesia
Alamendah Patuha Coffee;94;Jakarta, Indonesia;West Java, Indonesia;Medium;IDR $120,000/200 grams;50;66;60;;Indonesia;Jakarta, Indonesia;Indonesia;Indonesia
Holiday Blend;94;Hong Kong, China;Southern Ethiopia;Medium Light;$8.00/100 grams;54;74;8;0.282186949;Ethiopia;Hong Kong, China;China;Ethiopia
2019 Celebration;94;Emeryville, California;Kenya, Guatemala;Medium;$18.75/12 ounces;47;67;5.51;18.75;Guatemala;Emeryville, California;USA;Guatemala
Kenya Kiandu Peaberry;95;Taipei, Taiwan;Nyeri growing region, south-central Kenya;Medium Light;NT $570/200 grams;56;74;285;20.10582011;Kenya;Taipei, Taiwan;Taiwan;Kenya
Sumatra Raja Harimau Lintong Espresso;96;Chia-Yi, Taiwan;Lintong growing region, northern Sumatra, Indonesia;Medium;NT $275/8 ounces;44;61;121.25;275;Indonesia;Chia-Yi, Taiwan;Taiwan;Indonesia
Panama Esmeralda Geisha Portón Oro Yeast;94;Los Angeles, California;Alto Quiel, Panama;Medium Light;$69.95/6 ounces;59;77;41.12;69.95;Panama;Los Angeles, California;USA;Panama
